公历日期,十二值日,十二值神,黄道吉日,宜,忌
2026-01-01,闭,勾陈,否,入宅、移徙、出行、进人口、修造、动土、起基、上梁、安门、造仓、补垣、塞穴、造畜稠,嫁娶、开市、安床、栽种、安葬、祈福、开光、掘井
2026-01-02,建,青龙,否,造畜稠、教牛马,入宅、移徙、分居、作灶、出火、安香、动土、嫁娶、掘井、扫舍、造桥
2026-01-03,除,明堂,是,订盟、纳采、造车器、祭祀、祈福、出行、安香、修造、动土、上梁、开市、交易、立券、移徙、入宅、会亲友、安机械、栽种、纳畜、盖屋、起基、安床、造畜稠,破土、安葬、行丧、开生坟
2026-01-04,满,天刑,否,订盟、纳采、会亲友、安机械、开光、修造、动土、竖柱、上梁、盖屋、起基、造桥、栽种、纳畜、造畜稠、移柩、入殓、启钻、修坟、立碑、安葬,祈福、出火、嫁娶、入宅、开市、破土
2026-01-05,平,朱雀,否,开市、交易、立券、纳财、开池、补垣、嫁娶、纳采、纳畜、取渔、安床,修造、上梁、入宅、祈福、探病、掘井、动土、安门、安葬、作灶
2026-01-06,定,金匮,是,祭祀、解除、修饰垣墙、平治道涂、馀事勿取,无
2026-01-07,执,天德,是,嫁娶、祭祀、祈福、求嗣、动土、会亲友、起基、造仓、纳畜、牧养、开厕、进人口,掘井、安葬、栽种、出行、作灶、开市、入宅、安门
2026-01-08,破,白虎,否,嫁娶、祭祀、祈福、求嗣、开光、入宅、移徙、安床、修造、动土、进人口,掘井、安葬、栽种、出行、作灶、开市、安门
2026-01-09,危,玉堂,是,破屋、坏垣、馀事勿取,诸事不宜
2026-01-10,成,天牢,是,嫁娶、开市、交易、立券、开光、出行、出火、拆卸、修造、入宅、移徙、动土、破土、移柩、安葬、启钻、除服、成服,安床、伐木、祈福、纳畜
2026-01-11,收,玄武,否,祭祀、入殓、破土、除服、成服、启钻、安葬、修坟、立碑、馀事勿取,无
2026-01-12,开,司命,是,祭祀、解除、馀事勿取,诸事不宜
2026-01-13,闭,勾陈,否,开市、交易、立券、纳财、纳畜、造畜稠、入宅、移徙、安床、开光、祈福、求嗣、动土,嫁娶、栽种、安葬、理发、造庙、作灶、入殓、行丧、造桥
2026-01-14,建,青龙,否,安床、裁衣、交易、立券、入殓、移柩、安葬、除服、成服,置产、嫁娶、出行、开光、栽种、动土、破土、入宅、治病
2026-01-15,除,明堂,是,祭祀、解除、造畜稠、教牛马、针灸、馀事勿取,嫁娶、动土、开池、安葬
2026-01-16,满,天刑,否,沐浴、塑绘、开光、纳采、订盟、开市、交易、立券、纳财、起基、动土、定磉、放水、安葬、破土、启钻、修坟、立碑、移柩,入宅、安门、祭祀、谢土
2026-01-17,平,朱雀,否,嫁娶、出行、理发、安床、启钻、安葬、修坟、开市、交易、立券、纳财、开池、牧养,掘井、祈福、谢土、动土、入宅、上梁、修造、作灶
2026-01-18,定,金匮,是,解除、平治道涂、馀事勿取,移徙、入宅、掘井、造庙、栽种、针灸、治病、开池
2026-01-19,定,金匮,是,嫁娶、祭祀、开光、伐木、出火、拆卸、入宅、移徙、修造、动土、上梁、安床、纳畜,开市、行丧、栽种、出行、出货财、安葬、置产、词讼、治病
2026-01-20,执,天德,是,嫁娶、纳采、订盟、入宅、移徙、安床、祭祀、祈福、开光、出行、解除、出火、拆卸、动土、纳畜、谢土、安葬、破土,伐木、开市、交易、上梁、作灶、安门、盖屋
2026-01-21,破,白虎,否,祭祀、破屋、坏垣、解除、馀事勿取,开市、动土、破土
2026-01-22,危,玉堂,是,嫁娶、纳采、订盟、开光、安香、出火、纳财、开市、交易、立券、裁衣、盖屋、起基、修造、动土、安门、移徙、入宅、栽种、牧养、畋猎、掘井、开池、安葬、破土、入殓、除服、成服、立碑,祈福、造庙、祭祀、安床、谢土
2026-01-23,成,天牢,是,祭祀、斋醮、入殓、破土、启钻、安葬、修坟、立碑、除服、成服,嫁娶、入宅、作灶、纳采、订盟
2026-01-24,收,玄武,否,祭祀、斋醮、纳财、捕捉、畋猎,嫁娶、开市、入宅、安床、破土、安葬
2026-01-25,开,司命,是,纳采、订盟、祭祀、祈福、求嗣、斋醮、沐浴、进人口、会亲友、入学、治病、安碓磑、掘井、开池、纳畜、牧养、造畜稠,嫁娶、合帐、入宅、行丧、安葬
2026-01-26,闭,勾陈,否,祭祀、祈福、求嗣、沐浴、问名、交易、纳财、入殓、移柩、安葬、修坟、立碑、谢土、造畜稠、教牛马,入宅、置产、嫁娶、动土、栽种、开市、开光、破土
2026-01-27,建,青龙,否,祭祀、教牛马、造畜稠、会亲友、解除、馀事勿取,嫁娶、入宅、出行、动土、破土、安葬、行丧
2026-01-28,除,明堂,是,嫁娶、开光、解除、出火、拆卸、修造、进人口、入宅、移徙、安床、栽种、入殓、修坟、动土、除服、成服,作灶、安葬、祭祀、开市、纳采、订盟、纳畜、谢土、出行、探病
2026-01-29,满,天刑,否,出行、起基、安床、纳财、交易、立券、嫁娶、栽种、入殓、移柩、安葬,挂匾、入宅、上梁、祈福、词讼、作梁、作灶、开池、安门、动土、破土、掘井
2026-01-30,平,朱雀,否,平治道涂、馀事勿取,开光、嫁娶、开仓、出货财、造船、安葬、探病
2026-01-31,定,金匮,是,嫁娶、订盟、纳采、会亲友、祭祀、安机械、移徙、入宅、盖屋、安床、起基、定磉、安香、出火、挂匾、拆卸、置产,开市、出行、安葬、行丧
2026-02-01,执,天德,是,沐浴、捕捉、畋猎、理发、整手足甲、入殓、除服、成服、破土、安葬、谢土、立碑、修坟、启钻,纳采、订盟、嫁娶、上梁、开市、斋醮、盖屋、安门
2026-02-02,破,白虎,否,祭祀、破屋、坏垣、馀事勿取,斋醮、嫁娶、开市
2026-02-03,危,玉堂,是,沐浴、开仓、出货财、开市、交易、立券、纳财、栽种、纳畜、牧养、畋猎、入殓、破土、安葬,祈福、嫁娶、安床、入宅、造船
